Blocks: '[0:82:1996:5:1, -1:82:1997:5:1, 0:82:1997:5:1, 1:82:1997:5:1, -2:82:1998:5:1,
  -1:82:1998:5:1, 0:82:1998:5:1, 1:82:1998:5:1, 2:82:1998:5:1, -3:82:1999:5:1, -2:82:1999:5:1,
  -1:82:1999:5:1, 0:82:1999:5:1, 1:82:1999:5:1, 2:82:1999:5:1, 3:82:1999:5:1, -3:82:2000:5:1,
  -2:82:2000:5:1, -1:82:2000:5:1, 0:82:2000:5:1, 1:82:2000:5:1, 2:82:2000:5:1, 3:82:2000:5:1,
  -3:82:2001:5:1, -2:82:2001:5:1, -1:82:2001:5:1, 0:82:2001:5:1, 1:82:2001:5:1, 2:82:2001:5:1,
  3:82:2001:5:1, -2:82:2002:5:1, -1:82:2002:5:1, 0:82:2002:5:1, 1:82:2002:5:1, 2:82:2002:5:1,
  -1:82:2003:5:1, 0:82:2003:5:1, 1:82:2003:5:1, 0:83:1994:5:1, 0:83:1995:5:1, -1:83:1996:5:1,
  0:83:1996:5:1, 1:83:1996:5:1, -2:83:1997:172, -1:83:1997:5:1, 0:83:1997:172, 1:83:1997:5:1,
  2:83:1997:172, -3:83:1998:172, -2:83:1998:172, -1:83:1998:172, 0:83:1998:172, 1:83:1998:172,
  2:83:1998:172, 3:83:1998:172, -3:83:1999:5:1, -2:83:1999:172, -1:83:1999:172, 0:83:1999:172,
  1:83:1999:172, 2:83:1999:172, 3:83:1999:5:1, -6:83:2000:5:1, -5:83:2000:5:1, -4:83:2000:5:1,
  -3:83:2000:172, -2:83:2000:172, -1:83:2000:172, 0:83:2000:172, 1:83:2000:172, 2:83:2000:172,
  3:83:2000:172, 4:83:2000:5:1, 5:83:2000:5:1, 6:83:2000:5:1, -3:83:2001:5:1, -2:83:2001:172,
  -1:83:2001:172, 0:83:2001:172, 1:83:2001:172, 2:83:2001:172, 3:83:2001:5:1, -3:83:2002:172,
  -2:83:2002:172, -1:83:2002:172, 0:83:2002:172, 1:83:2002:172, 2:83:2002:172, 3:83:2002:172,
  -2:83:2003:172, -1:83:2003:5:1, 0:83:2003:172, 1:83:2003:5:1, 2:83:2003:172, 0:83:2004:5:1,
  0:83:2005:5:1, 0:83:2006:5:1, 0:84:1992:5:1, 0:84:1993:5:1, -2:84:1994:172, -1:84:1994:172,
  0:84:1994:172, 1:84:1994:172, 2:84:1994:172, -4:84:1995:172, -3:84:1995:172, -2:84:1995:172,
  -1:84:1995:172, 0:84:1995:172, 1:84:1995:172, 2:84:1995:172, 3:84:1995:172, 4:84:1995:172,
  -5:84:1996:172, -4:84:1996:172, -3:84:1996:172, -2:84:1996:172, -1:84:1996:172,
  0:84:1996:172, 1:84:1996:172, 2:84:1996:172, 3:84:1996:172, 4:84:1996:172, 5:84:1996:172,
  -5:84:1997:172, -4:84:1997:172, -3:84:1997:172, -2:84:1997:172, -1:84:1997:172,
  0:84:1997:172, 1:84:1997:172, 2:84:1997:172, 3:84:1997:172, 4:84:1997:172, 5:84:1997:172,
  -6:84:1998:172, -5:84:1998:172, -4:84:1998:172, -3:84:1998:172, -2:84:1998:172,
  -1:84:1998:172, 0:84:1998:172, 1:84:1998:172, 2:84:1998:172, 3:84:1998:172, 4:84:1998:172,
  5:84:1998:172, 6:84:1998:172, -6:84:1999:172, -5:84:1999:172, -4:84:1999:172, -3:84:1999:172,
  -2:84:1999:172, -1:84:1999:172, 0:84:1999:172, 1:84:1999:172, 2:84:1999:172, 3:84:1999:172,
  4:84:1999:172, 5:84:1999:172, 6:84:1999:172, -8:84:2000:5:1, -7:84:2000:5:1, -6:84:2000:172,
  -5:84:2000:172, -4:84:2000:172, -3:84:2000:172, -2:84:2000:172, -1:84:2000:172,
  0:84:2000:172, 1:84:2000:172, 2:84:2000:172, 3:84:2000:172, 4:84:2000:172, 5:84:2000:172,
  6:84:2000:172, 7:84:2000:5:1, 8:84:2000:5:1, -6:84:2001:172, -5:84:2001:172, -4:84:2001:172,
  -3:84:2001:172, -2:84:2001:172, -1:84:2001:172, 0:84:2001:172, 1:84:2001:172, 2:84:2001:172,
  3:84:2001:172, 4:84:2001:172, 5:84:2001:172, 6:84:2001:172, -6:84:2002:172, -5:84:2002:172,
  -4:84:2002:172, -3:84:2002:172, -2:84:2002:172, -1:84:2002:172, 0:84:2002:172, 1:84:2002:172,
  2:84:2002:172, 3:84:2002:172, 4:84:2002:172, 5:84:2002:172, 6:84:2002:172, -5:84:2003:172,
  -4:84:2003:172, -3:84:2003:172, -2:84:2003:172, -1:84:2003:172, 0:84:2003:172, 1:84:2003:172,
  2:84:2003:172, 3:84:2003:172, 4:84:2003:172, 5:84:2003:172, -5:84:2004:172, -4:84:2004:172,
  -3:84:2004:172, -2:84:2004:172, -1:84:2004:172, 0:84:2004:172, 1:84:2004:172, 2:84:2004:172,
  3:84:2004:172, 4:84:2004:172, 5:84:2004:172, -4:84:2005:172, -3:84:2005:172, -2:84:2005:172,
  -1:84:2005:172, 0:84:2005:172, 1:84:2005:172, 2:84:2005:172, 3:84:2005:172, 4:84:2005:172,
  -2:84:2006:172, -1:84:2006:172, 0:84:2006:172, 1:84:2006:172, 2:84:2006:172, 0:84:2007:5:1,
  0:84:2008:5:1, 0:85:1991:5:1, -1:85:1992:172, 0:85:1992:172, 1:85:1992:172, -4:85:1993:172,
  -3:85:1993:172, -2:85:1993:172, -1:85:1993:172, 0:85:1993:172, 1:85:1993:172, 2:85:1993:172,
  3:85:1993:172, 4:85:1993:172, -5:85:1994:172, -4:85:1994:172, -3:85:1994:172, -2:85:1994:172,
  -1:85:1994:172, 0:85:1994:172, 1:85:1994:172, 2:85:1994:172, 3:85:1994:172, 4:85:1994:172,
